sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	maddog_lineage
EF377670	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Arauca	1997	1997	1997	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C02/97	NULL
EF377672	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Arauca	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C04/96	NULL
EF377673	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chocontá	1995	1995	1995	264	18-Feb-2007	14-Jul-2016	Bos taurus	17643540	BV1/95	NULL
EF377679	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Orito	2000	2000	2000	264	18-Feb-2007	14-Jul-2016	Homo sapiens	17643540	H01/00	NULL
EF377680	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chiquinquirá	1997	1997	1997	264	18-Feb-2007	14-Jul-2016	Bos taurus	17643540	BV1/97	NULL
EF377681	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chiquinquirá	1995	1995	1995	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C19/95	NULL
EF377682	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Saboya	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C05/96	NULL
EF377683	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chiquinquirá	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C01/96	NULL
EF377684	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Sopó	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C13/96	NULL
EF377685	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Arauca	1997	1997	1997	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C30/97	NULL
EF377687	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Arauca	1997	1997	1997	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C04/97	NULL
EF377688	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chiquinquirá	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Bos taurus	17643540	BV2/96	NULL
EF377689	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Ubaté	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C03/96	NULL
EF377690	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pijao	1997	1997	1997	264	18-Feb-2007	14-Jul-2016	Bos taurus	17643540	BV9/97	NULL
EF377691	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Arauca	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Canis familiaris	17643540	C08/96	NULL
EF377692	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Polo Nuevo	2001	2001	2001	264	18-Feb-2007	14-Jul-2016	Vulpes vulpes	17643540	F11/01	NULL
EF377693	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chiquinquirá	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Bos taurus	17643540	BV1/96	NULL
EF377694	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Arauca	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Felis catus	17643540	CT2/96	NULL
EF377695	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Chiquinquirá	1996	1996	1996	264	18-Feb-2007	14-Jul-2016	Bos taurus	17643540	BV5/96	NULL
EF675757	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	526	01-Feb-2008	26-Jul-2016	-	-	BRA CVS31.2	NULL
EU086161	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	-	2004	2004	2004	1353	31-Aug-2008	21-Oct-2008	Canis familiaris	18931062	C01/04	Cosmopolitan AM2a_A1
EU530698	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7314-98	Cosmopolitan
EU530699	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7456-98	Cosmopolitan
EU530700	AL_Cosmopolitan	Cosmopolitan	PER	Peru	J.D.Choquehuanca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN8153-98	Cosmopolitan
EU530701	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	1998	1998	1998	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN8801-98	Cosmopolitan
EU530702	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juli, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Sus scrofa	-	PERPUN9807-99	Cosmopolitan
EU530703	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Sus scrofa	-	PERPUN10104-99	Cosmopolitan
EU530704	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Kelluyo, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Homo sapiens	-	PERPUN221-99	Cosmopolitan
EU530705	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Yunguyo, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN426-99	Cosmopolitan
EU530706	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Arapa, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN709-99	Cosmopolitan
EU530707	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Poccona, Puno	1999	1999	1999	264	05-Apr-2008	26-Jul-2016	Homo sapiens	-	PERPUN1449-99	Cosmopolitan
EU530708	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Asillo, Puno	2000	2000	2000	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN4384-00	Cosmopolitan
EU530709	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Azangaro, Puno	2000	2000	2000	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN4387-00	Cosmopolitan
EU530710	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Orurillo, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7012-01	Cosmopolitan
EU530711	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Yunguyo, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN7015-01	Cosmopolitan
EU530712	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Puno, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Bos taurus	-	PERPUN22144-01	Cosmopolitan
EU530713	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Pomata, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Bos taurus	-	PERPUN40781-01	Cosmopolitan
EU530714	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Desaguadero, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40787-01	Cosmopolitan
EU530715	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Pomata, Puno	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN37476-02	Cosmopolitan
EU530716	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN37478-02	Cosmopolitan
EU530717	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Desaguadero, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	llama	-	PERPUN5020-03	Cosmopolitan
EU530718	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN37451-03	Cosmopolitan
EU530719	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40095-03	Cosmopolitan
EU530720	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40097-03	Cosmopolitan
EU530721	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40099-03	Cosmopolitan
EU530722	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN44494-03	Cosmopolitan
EU530723	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Desaguadero, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Felis catus	-	PERPUN48182-03	Cosmopolitan
EU530725	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	PER	Peru	Madre de Dios	2000	2000	2000	264	05-Apr-2008	26-Jul-2016	Homo sapiens	-	PERMDD3851-00	NULL
EU530726	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	donkey	-	PERPIU28498-02	NULL
EU530727	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPIU24938-02	NULL
EU530728	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Capra hircus	-	PERPIU42208-02	NULL
EU530729	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2004	2004	2004	264	05-Apr-2008	26-Jul-2016	Vulpes vulpes	-	PERPIU32729-04	NULL
EU665201	AL_Cosmopolitan_Vac	Cosmopolitan Vac	ARG	Argentina	-	-	-	2008	787	09-Jun-2008	26-Jul-2016	-	-	large	NULL
EU665202	AL_Cosmopolitan_Vac	Cosmopolitan Vac	ARG	Argentina	-	-	-	2008	584	09-Jun-2008	26-Jul-2016	-	-	short	NULL
EU918614	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piaui	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	9370PIDG/2005	NULL
EU918615	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piaui	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	9371PIDG/2005	NULL
EU918616	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piaui	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	9532PIDG/2005	NULL
EU918617	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Alagoas	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	9479ALDG/2005	NULL
EU918618	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Para	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	8578PADG/2005	NULL
EU918619	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Para	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	8581PADG/2005	NULL
EU918620	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Para	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	8575PADG/2005	NULL
EU918621	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Para	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	8587PADG/2005	NULL
EU918622	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Para	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	8589PADG/2005	NULL
EU918623	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Para	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	8590PADG/2005	NULL
EU918624	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Paraiba	2003	2003	2003	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	10561PBDG/2003	NULL
EU918625	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Paraiba	2003	2003	2003	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	10565PBDG/2003	NULL
EU918626	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Paraiba	2003	2003	2003	1889	11-Aug-2008	26-Jul-2016	Felis catus	19185599	10566PBCT/2003	NULL
EU918627	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Paraiba	2003	2003	2003	1889	11-Aug-2008	26-Jul-2016	Felis catus	19185599	10568PBCT/2003	NULL
EU918628	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Sergipe	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	6049SEDG/2005	NULL
EU918629	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Sergipe	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Canis familiaris	19185599	6050SEDG/2005	NULL
EU918630	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	4367PICth/2005	NULL
EU918631	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Piaui	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Pseudalopex vetulus	19185599	4371PIPve/2005	NULL
EU918632	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	5070PICth/2005	NULL
EU918633	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Piaui	2004	2004	2004	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6129PICth/2004	NULL
EU918634	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6334PICth/2005	NULL
EU918635	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Piaui	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6971PICth/2005	NULL
EU918636	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6973PECth/2005	NULL
EU918637	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6975PECth/2005	NULL
EU918638	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2002	2002	2002	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	1406PECth/2002	NULL
EU918639	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2002	2002	2002	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	1407PECth/2002	NULL
EU918640	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6967PECth/2005	NULL
EU918641	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	4102PECth/2005	NULL
EU918642	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	4103PECt/2005	NULL
EU918643	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Bahia	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	7579BACth/2005	NULL
EU918644	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	10563BACth/2003	NULL
EU918645	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Bahia	2004	2004	2004	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	9339BACth/2004	NULL
EU918646	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6978PECth/2005	NULL
EU918647	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6979PECth/2005	NULL
EU918648	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Pernambuco	2005	2005	2005	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6977PECth/2005	NULL
EU918649	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Pseudalopex vetulus	19185599	6333PiPve/2005	NULL
EU918650	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2008	1889	11-Aug-2008	26-Jul-2016	Cerdocyon thous	19185599	6335PICth/2005	NULL
FJ228483	AL_RAC-SK	RAC-SK	MEX	Mexico	Zacatecas	2001	2001	2001	1350	08-Mar-2009	24-Jul-2016	Spilogale putorius	-	2311Mxzacsk01	NULL
FJ228484	AL_RAC-SK	RAC-SK	MEX	Mexico	San Luis Potosi	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Spilogale putorius	-	2818Mxslpsk02	NULL
FJ228485	AL_RAC-SK	RAC-SK	MEX	Mexico	Chihuahua	1999	1999	1999	1350	08-Mar-2009	24-Jul-2016	Bos taurus	-	Mxchihbv1999	RAC-SK_B1.1
FJ228494	AL_Cosmopolitan	Cosmopolitan	MEX	Mexico	Baja California Sur	2007	2007	2007	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	DGCABS2007	Cosmopolitan AM1_A1
FJ228495	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	mongoose	-	Prmongoose2004	Cosmopolitan AM1_A1
FJ228496	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	2006	2006	2006	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	2839dgPuertoRico2006	Cosmopolitan AM1_A1
FJ228497	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	2006	2006	2006	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	2840PuertoRicodg2006	Cosmopolitan AM1_A1
FJ228498	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	4355Perudg2004	Cosmopolitan AM2a_A1
FJ228499	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	4352Perudg2004	Cosmopolitan AM2a_A1
FJ228500	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2005	2005	2005	1350	08-Mar-2009	24-Jul-2016	Homo sapiens	-	1475peruhm2005	Cosmopolitan AM2a_A1
FJ228501	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	Vulpes vulpes	-	26200PeruFx2004	Cosmopolitan AM2a_A1
FJ228502	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Distrito Federal	1999	1999	1999	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	1700Mxdfdg99	Cosmopolitan AM2a_A1
FJ228503	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Tlaxcala	2000	2000	2000	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	575Mxtlxdg00	Cosmopolitan AM2a_A1
FJ228504	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Puebla	2001	2001	2001	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	457Mxpuedg01	Cosmopolitan AM2a_A1
FJ228505	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Tlaxcala	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	67Mxtlxdg02	Cosmopolitan AM2a_A1
FJ228506	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Guerrero	1999	1999	1999	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	440Mxgrodg99	Cosmopolitan AM2a_A1
FJ228507	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Estado de Mexico	1999	1999	1999	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	1390Mxmxdg99	Cosmopolitan AM2a_A1
FJ228508	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Distrito Federal	1991	1991	1991	1350	08-Mar-2009	24-Jul-2016	Homo sapiens	-	3121Mxdfhm91	Cosmopolitan AM2a_A1
FJ228509	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Distrito Federal	1990	1990	1990	1350	08-Mar-2009	24-Jul-2016	ferret	-	3142Mxdffer90	Cosmopolitan AM2a_A1
FJ228510	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Distrito Federal	1991	1991	1991	1350	08-Mar-2009	24-Jul-2016	Sus scrofa	-	3134Mxdfpg91	Cosmopolitan AM2a_A1
FJ228511	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Puebla	1994	1994	1994	1350	08-Mar-2009	24-Jul-2016	Bos taurus	-	3143Mxpuebv94	Cosmopolitan AM2a_A1
FJ228512	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Estado de Mexico	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	2509Mxmxdg02	Cosmopolitan AM2a_A1
FJ228513	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Estado de Mexico	2000	2000	2000	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	1407Mxmxdg00	Cosmopolitan AM2a_A1
FJ228514	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Michoacan	1991	1991	1991	1350	08-Mar-2009	24-Jul-2016	donkey	-	3138Mxmichdk91	Cosmopolitan AM2a_A1
FJ228515	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Guerrero	2001	2001	2001	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	250Mxgrodg01	Cosmopolitan AM2a_A1
FJ228516	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Guerrero	2000	2000	2000	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	202Mxgrodg00	Cosmopolitan AM2a_A1
FJ228517	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	HND	Honduras	-	2001	2001	2001	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	60Honddg01	Cosmopolitan AM2a_A1
FJ228518	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Chiapas	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	3066Mxchisdg02	Cosmopolitan AM2a_A1
FJ228519	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Michoacan	1990	1990	1990	1350	08-Mar-2009	24-Jul-2016	Felis catus	-	3122Mxmichct90	Cosmopolitan AM2a_A1
FJ228521	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Durango	1991	1991	1991	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	3128Mxdgodg91	Cosmopolitan AM2a_A1
FJ228522	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Chihuahua	1994	1994	1994	1350	08-Mar-2009	24-Jul-2016	Bos taurus	-	3144Mxchihbv94	Cosmopolitan AM2a_A1
FJ228523	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Yucatan	1998	1998	1998	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	175Mxyucdg98	Cosmopolitan AM2a_A1
FJ228524	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Yucatan	1995	1995	1995	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	10Mxyucdg95	Cosmopolitan AM2a_A1
FJ228525	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Yucatan	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	412Mxyucdg02	Cosmopolitan AM2a_A1
FJ228526	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Coahuila	2001	2001	2001	1350	08-Mar-2009	24-Jul-2016	Canis latrans	-	247Mxcoahcy01	Cosmopolitan_A1
FJ228527	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Tamaulipas	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Felis catus	-	3306Mxct02	Cosmopolitan_A1
FJ228531	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Tlaxcala	1991	1991	1991	1350	08-Mar-2009	24-Jul-2016	Capra hircus	-	3127Mxtlxgt91	Cosmopolitan_A1
FJ228532	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Puebla	1995	1995	1995	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	3151Puedg95	Cosmopolitan_A1
FJ228533	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Michoacan	2000	2000	2000	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	490Mxmichdg00	Cosmopolitan_A1
FJ228540	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Sonora	2002	2002	2002	1350	08-Mar-2009	24-Jul-2016	Felis catus	-	3907Mxsonbct	NULL
FJ228542	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Chihuahua	1994	1994	1994	1350	08-Mar-2009	24-Jul-2016	Felis catus	-	3148Mxchihbct94	NULL
FJ228543	AL_Cosmopolitan	Cosmopolitan	MEX	Mexico	Baja California Sur	2007	2007	2007	1350	08-Mar-2009	24-Jul-2016	Spilogale putorius	-	SKBCSracepilot2007	NULL
